Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.10	39.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.10	34.54
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.10	35.05
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.05	37.85
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-11_26_05.avi	-27.05	40.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.05	42.46
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.04	36.11
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.03	35.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.03	42.71
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.03	44.11
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.00	45.16
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.00	33.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-26.98	39.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-26.98	45.40
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-26.97	39.08
