Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-29.00	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.97	34.81
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.97	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.90	38.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.90	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.88	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.84	40.34
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.80	32.66
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.79	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.76	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.75	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.74	37.21
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-28.73	33.17
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.70	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.63	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-28.58	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-28.58	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.58	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.57	35.52
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.56	38.45
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.51	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.50	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.48	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.48	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.42	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.40	35.45
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.40	34.99
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.37	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-28.34	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.25	34.11
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.25	38.27
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.24	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.23	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.23	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.23	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.23	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.22	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.20	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.19	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.17	36.38
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-28.16	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-12_49_02.avi	-28.10	35.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.10	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.10	34.35
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.07	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.05	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.05	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.05	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.05	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.03	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-28.00	33.48
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.00	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-13_56_49.avi	-28.00	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-11_46_54.avi	-27.98	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151215\IN study with the NCC 0.30g in 1ml water-15_12_2015-10_40_34.avi	-27.96	31.42
